sido,sigungu,road_type,road_direction,address,road_shape,main_road,signal_id,signal_type,button,remain_time,sound_signal,org_code
경기도,의정부시,시도,3,경기도 의정부시 의정부동 462,1,1,1994-TR-01,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 녹양동 414-1,1,1,1998-TR-01,2,0,0,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 녹양동 415-4,1,1,2000-TR-01,2,0,0,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 녹양동 415-4,2,1,2001-TR-01,2,0,0,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 214-4,2,1,1982-TR-02,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 녹양동 411-3,2,0,1986-TR-01,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 221-44,1,1,1988-TR-01,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 녹양동 411-5,2,1,1990-TR-03,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 녹양동 70-28,2,1,1966-TR-01,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 녹양동 415-1,2,0,1968-TR-01,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 녹양동 402-3,2,0,1969-TR-01,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 15-10,2,1,1974-TR-01,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 민락동 산 98-5,1,1,1950-TR-03,2,0,1,0,3820000
경기도,의정부시,일반국도,3,경기도 의정부시 금오동 97-9,2,1,1953-TR-01,2,0,1,0,3820000
경기도,의정부시,일반국도,3,경기도 의정부시 금오동 99-5,2,1,1955-TR-03,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 민락동 903,2,1,1957-TR-01,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 민락동 903-2,2,0,1958-TR-01,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 민락동 903-2,2,0,1960-TR-01,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 민락동 903-1,2,1,1961-TR-05,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 녹양동 산 22-1,2,1,1963-TR-01,2,0,0,0,3820000
경기도,의정부시,일반국도,3,경기도 의정부시 자일동 345-2,2,1,1945-TR-06,2,0,0,0,3820000
경기도,의정부시,일반국도,3,경기도 의정부시 자일동 산 3-10,2,1,1947-TR-04,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 민락동 산 100-30,1,1,1949-TR-03,2,0,1,0,3820000
경기도,의정부시,일반국도,3,경기도 의정부시 자일동 174-10,2,1,1932-TR-04,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 민락동 910,1,1,1934-TR-01,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 민락동 910,2,1,1936-TR-03,2,0,1,0,3820000
경기도,의정부시,일반국도,3,경기도 의정부시 자일동 372-1,2,1,1937-TR-04,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 금오동 21-5,2,1,1922-TR-03,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 낙양동 319-8,2,0,1924-TR-01,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 낙양동 314-16,2,1,1925-TR-03,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 낙양동 313-4,2,0,1926-TR-01,2,0,0,0,3820000
